title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
BLAG (Better Letters Magazine),https://bl.ag/,Online and print publication informing and inspiring the international sign painting community. Join our adventures in sign painting for free today.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661941118058-BLAG_Social_Profile_Pic_03.jpg?width=75&height=75&resize=contain,False,['art'],6480,True,,False,4904079,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/betterletters.png?width=600&height=426&resize=cover,#15171A,#D6DAE3,#759557,en,1658238420,6480,20,1706855726,True,83361f5e-b658-4daf-879a-346d71d16681
Oykun.com,https://oykun.com/,Grow Your Value and $$$ Income As a Designer,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679865138668-oykun40sdfsdfsd-3.png?width=75&height=75&resize=contain,False,['art'],39179,True,,False,2609298,False,,,,#000000,en,1663618170,39179,0,1706366994,False,f2208634-7752-4c32-a326-f3195b5580b9
One Ahead,https://www.oneahead.com/,"The weekly newsletter for dedicated magicians. Packed with magic news, insights, & stories.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704116808355-9509da1d-a732-450d-b713-fcee3017b937_1200x1200--1-.png?width=75&height=75&resize=contain,False,['art'],0,False,4K,True,5001541,False,,,,#bc2c2e,en,1682539723,37825.614,790,1706782889,True,c7f612e6-340b-4061-8008-9bb287293a15
Fizday Design Paper,https://blog.antivirusakash.com/,"Where Designers Learn, Understand, Think, and Create for Billions of Users.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663669725245-ficon-5.png?width=75&height=75&resize=contain,False,['art'],4649,True,,False,179313818,False,,,,#2c2c2c,en,1663669727,4649,0,1665036935,True,898fc63e-8ff9-479f-8663-9540a1556208
Make and Do,https://makeanddo.art/,Writing on art and culture from lutruwita/Tasmania by Andrew Harper,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692104598380-MakeAndDofavicon-wider.ico?width=75&height=75&resize=contain,False,['art'],0,False,312,True,10499672,False,,,,#0400ff,en,1688366922,3120.75,10,1706247804,True,8c541212-79ed-4e37-b63a-528d57ee9a2c
RBCDart,https://www.rbcdart.com/,"Art that's often ethical, edgy, sexual, multimedia, performance, composite, naked, archival... ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661200714928-MemberPortrait.jpg?width=75&height=75&resize=contain,True,['art'],29,True,125,True,29648560,False,,,,#3ea866,en,1661200716,1279,0,1706293236,True,b0b4bd19-98aa-41be-a0a5-a80ca4b6b07a
TOMAGO HOUSE,https://www.tomagohouse.com/,"A newsletter/blog about the storytelling and comics by writer/artist Tri Vuong, creator of ""The Strange Tales of Oscar Zahn"" and co-creator of ""Everyday Hero Machine Boy"".  ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694614913087-Tomago-House-Logo-PNG.png?width=75&height=75&resize=contain,False,['art'],913,True,34,True,392363601,False,,,,#f77151,en,1673964362,1256.2,40,1706061848,True,8467a713-4728-47e9-8aab-eca62fe3e365
Raskol Hidden Art,https://www.raskolhiddenart.com/,"Creating Whimsy with hoodies, art & screen-printing",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1686240239137-RaskolLogo_Ghost.jpg?width=75&height=75&resize=contain,False,['art'],983,True,,False,86242203,False,,,,#ff9f1a,en,1674339432,983,6,1706218870,True,2ee584aa-47b9-4a28-8cfe-be8834ea30c5
everything is an experiment,https://hopeamico.ghost.io/,"news from the studio of Hope Amico: stories and ramblings about about the Keep Writing postcard project, creative practice and that time I did that thing.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1685421130441-experiment-square-welcome.png?width=75&height=75&resize=contain,False,['art'],925,True,,False,9999075,False,,,,#ff1a75,en,1685421131,925,15,1699236402,True,9b147859-c668-4eb9-9920-c8c73f94afa6
Avant,https://www.avant.dev/,Curatorial studio based in Mexico City that explores multiverses in creative ways through art with interdisciplinary formats in thought and matter.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660785563818-AvantDev_Icon2022.png?width=75&height=75&resize=contain,False,['art'],708,True,,False,13266412,False,,,,#660099,en,1660785313,708,3,1685905226,True,93bd2960-8f99-4f02-839f-96aa723381e7
