title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Creator Science,https://creatorscience.com/,"Become a smarter creator in 10 minutes per week. Join 54,000+ creators learning from firsthand experiments, expert interviews, and actionable advice every week.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705350919531-White-bg-circle-1600px.png?width=75&height=75&resize=contain,False,['business'],0,False,26K,True,1251688,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/creatorscience_feature.jpeg?width=600&height=426&resize=cover,#15171A,#D6DAE3,#0061ff,en,1663169908,263476.9,0,1706446808,False,97242874-5f77-40e2-8461-2383aa6b8e5f
Buffer,https://buffer.com/resources/,"Buffer’s social media marketing blog covers the latest social media tools, analytics, and strategies for Twitter, Facebook, and more.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/buffer.png?t=2022-07-19T12%3A41%3A57.306Z?width=75&height=75&resize=contain,False,['business'],0,False,,False,1000216,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/buffer (1).png?width=600&height=426&resize=cover,#15171A,#EAB8C1,,en,1658238539,0,0,1656460800,True,53ee4718-54d5-46c6-bcaa-1d787d49cddc
Kickstarter,https://updates.kickstarter.com,"Kickstarter exists to help bring creative projects to life. A home for film, music, art, theater, games, comics, design, photography, and more.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/ksicon.png?width=75&height=75&resize=contain,False,['business'],0,False,,False,1670232,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/ks.jpg?width=600&height=4268&resize=cover,#15171A,#09CE78,,en,1677004211,0,0,1677004211,True,8f280a38-9395-4610-badd-28a10e21caa1
Product Marketing Alliance,https://www.productmarketingalliance.com/,"Product Marketing Alliance is a collective of passionate product marketing managers committed to driving demand, adoption and the overall success of their products.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666695177931-favicon_pma_1000.png?width=75&height=75&resize=contain,False,['business'],33264,True,131K,True,42340,False,,,,#fe5d4c,en,1664276730,1342431.8,9431,1706884602,True,1a0a503e-93a6-4c8f-8e1e-309d88c089be
CEO.com,https://www.ceo.com/,The publication written and read by the world's most influential CEOs.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678171989024-ceo-logo-2.png?width=75&height=75&resize=contain,False,['business'],43063,True,,False,-22774,False,,,,#6000da,en,1678146773,43063,6,1706741542,False,49fa1a90-e0f4-4b79-a523-d24b211eef19
goodBUYreport,https://www.goodbuyreport.com/,Welcome to Jeff Yastine's goodBUYreport,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668806500528-GBR-1.png?width=75&height=75&resize=contain,False,['business'],27765,True,,False,22183300,False,,,,#801e1e,en,1668806503,27765,4,1706808085,True,0efb7bc8-f0f5-425c-8830-8c9020f7efa3
Brands Vietnam,https://we.brandsvietnam.com/,The Vietnam's Brands & Marketing Ecosystem.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692675039401-apple-touch-icon-1024-gra.png?width=75&height=75&resize=contain,False,['business'],24686,True,,False,53202001,False,,,,#CC0000,vi,1682307971,24686,220,1706881072,False,4e146c22-375f-4ca7-9e37-2dae2b0c107b
How the F*ck,https://seo.thefxck.com/,SEO Case Studies & Content to Help You Scale Traffic,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684918105822-How-the-fxck-logo.png?width=75&height=75&resize=contain,False,['business'],0,False,2K,True,2859361,False,,,,#F1A86C,en,1664995872,21393.318,0,1706512922,True,dcdfdd17-b8b9-4d49-96bd-a13b46643847
Sales Enablement Collective,https://www.salesenablementcollective.com/,"The Sales Enablement Collective is a global gathering of revenue leaders, all striving towards one, shared goal: consistent and predictable revenue growth.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679666014515-android-chrome-512x512.png?width=75&height=75&resize=contain,False,['business'],12374,True,,False,3548732,False,,,,#FF8A36,en,1679666015,12374,43,1706879988,True,f0dc927f-03ad-42a0-b30e-8c56086264e7
Super Send,https://blog.supersend.io/,Helpful Tips And Tricks For High Performance Outbound Campaigns,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669148765849-favicon.ico?width=75&height=75&resize=contain,False,['business'],11851,True,,False,11877000,False,,,,#303030,en,1669148769,11851,47,1705782102,True,9bcd7f3a-40f1-44a2-b863-f87d8b8d05f1
The Open Projects,https://www.theopenprojects.io/,Recibe cada viernes 3 ideas de negocio. Seleccionamos manualmente proyectos de éxito en Internet y te desvelamos todo sobre ellos para crear tu propio negocio online.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669326284250-Logo_2_horizontal%20(1).png?width=75&height=75&resize=contain,False,['business'],10721,True,,False,4957464,False,,,,#ffab1a,es,1669326287,10721,23,1706875232,True,e759f050-51db-490d-8c90-5be9dc924b80
