title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Roger Hallam,https://rogerhallam.com/,"The Climate Situation is Beyond F**ked. 1000’s of millions of Climate Refugees, Economic Collapse & Human Extinction. Join me in a Global Revolution to change it.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704357598702-roger-square-icon.png?width=75&height=75&resize=contain,False,['climate'],1637,True,997,True,1151137,False,,,,#ff751a,en,1702058595,11608,203,1706857331,True,278d8964-9968-4351-b6e7-320259263665
Empire of Dirt,https://empire-of-dirt.ghost.io/,A newsletter for people who love little places with big problems. Written by a climate reporter in the rural Catskills.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704257843037-444dfc65-ddf2-4fbc-a502-fc64bbaa5f7a_500x500.jpg?width=75&height=75&resize=contain,False,['climate'],818,True,388,True,10498733,False,,,,#5e1c1c,en,1704257843,4698.2,0,1704254703,True,6e6f99fb-d9db-4fd8-a45d-6d6034ea4ddd
ReFi DAO Media,https://blog.refidao.com/,The world of regenerative finance in your inbox.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670170898990-6319c4c1d0b248c635dc4002_ReFi-DAO.png?width=75&height=75&resize=contain,False,['climate'],3755,True,,False,1116774,False,,,,#b16dbe,en,1664185535,3755,24,1706304270,True,86e19321-6d61-4a27-a17d-1e0dcb98b5d4
Possibilities,https://www.possibilities.news/,Where the climate crisis meets community lie endless possibilities,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1691693076598-swirl-1.png?width=75&height=75&resize=contain,False,['climate'],0,False,206,True,48159437,False,,,,#433985,en,1686668554,2063.2,0,1706792414,True,99101fc9-d2c9-4fa2-8d19-eaf0958db35e
Climativity,https://www.climativity.com/, A breath of fresh air from climate anxiety.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664573753252-Climativity-6.png?width=75&height=75&resize=contain,False,['climate'],1429,True,,False,104433853,False,,,,#4f7a28,en,1664573754,1429,5,1706875263,True,38256620-525a-4580-b98b-c71cbe8f4b11
Rewilding Magazine,https://www.rewildingmag.com/,Join the movement for a wilder world,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660225997273-rewilding-icon.png?width=75&height=75&resize=contain,False,['climate'],1404,True,,False,1893712,False,,,,#0a750c,en,1658238539,1404,9,1706853524,True,d7f8b0c9-0452-470d-a359-68a7af00068a
Nextblue,https://www.next.blue/,Water and climate stories from the heart. 100% independent and community-driven.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1686057542307-Nextblue-favicon-600px.png?width=75&height=75&resize=contain,False,['climate'],1288,True,,False,3854371,False,,,,#00b0ff,en,1686057543,1288,4,1706021938,True,bd15ee5b-e8b7-4565-98cf-6be106fb0b91
Robin Boardman,https://robinboardman.com/,"Hi! Welcome to my cyberspace of protest stories, tips for creating successful social movements and how-tos on resisting social collapse",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1685435774220-pubb-icon-2.png?width=75&height=75&resize=contain,False,['climate'],219,True,47,True,40087060,False,,,,#a92afe,en,1685435775,687.6,6,1702191653,True,e0a85493-8868-42a9-a80b-c3ad2bc1ab61
StormHour,https://www.stormhour.com/,"Our mission is to promote meteorology & weather photography, & provide a platform & resource for amateurs & professionals alike.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678809906602-stormhourmedia-logo-400px.jpg?width=75&height=75&resize=contain,False,['climate'],413,True,,False,3049365,False,,,,#2f3f93,en,1678809907,413,4,1702892653,True,b03bcccd-cbf2-4fcb-b4a0-728d8d2fce9b
Greenwashed,https://www.greenwashed.earth/,Solutions-first climate coverage. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1688412150953-Carbonlink-Icon-Grasshopper-on-Forest-Green.png?width=75&height=75&resize=contain,False,['climate'],412,True,,False,27527160,False,,,,#2e8a39,en,1688412152,412,1,1695034820,True,a9a66046-0e99-4026-a56d-26a7f6c4453b
