title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
coin confidential,https://coinconfidential.com/,Exploring what crypto means for the world – and for you.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677763027164-Coin-Confidential-logo.png?width=75&height=75&resize=contain,False,['crypto'],740,True,814,True,4434997,False,,,,#dd9933,en,1677325280,8882,0,1705813227,True,19621220-7e29-42fe-816f-0bcd9d65b05e
Bitcoin2Go,https://bitcoin-2go.de/,Lernen. Verstehen. Austauschen.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684544096405-android-chrome-512x512.png?width=75&height=75&resize=contain,False,['crypto'],2817,True,0,True,1503491,False,,,,#4a6bed,de,1684544097,2817,13,1706873973,False,cd6d72c6-64a5-47fa-a600-34e2481b32fe
Stakefish,https://blog.stake.fish/,We are the leading staking service provider for blockchain projects and one of the largest and most trusted validators in the staking ecosystem.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663254737341-favicon-fin.png?width=75&height=75&resize=contain,False,['crypto'],1663,True,0,True,763949,False,,,,#bcf000,en,1663254500,1663,48,1701971527,True,3684fef8-17fb-4a05-b443-717f40350487
Blind Boxes ($BLES),https://news.bles.trade/,"The first gamified web 3 launchpad and marketplace. #defi
",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680923495772-Icon-only.png?width=75&height=75&resize=contain,False,['crypto'],1306,True,,False,7283427,False,,,,#000000,en,1680923496,1306,1,1706898118,True,84f6ded5-0933-415c-806a-bea00b5a4119
Bitcoin Post,https://www.bitcoinpost.news/,"Die wichtigsten Bitcoin-Nachrichten des Tages. Jeden Morgen um Punkt acht, direkt in dein Postfach!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1685639787632-aasdf.png?width=75&height=75&resize=contain,False,['crypto'],461,True,0,True,10499515,False,,,,#ff8c00,de,1685639788,461,1,1706857403,True,345e24d5-13db-4493-92a4-c2dc6660aad3
CoinTranscend,https://www.cointranscend.com/,"We explores emerging blockchains and offers accurate information & analysis. Our content demystifies complex concepts, features expert insights, interviews & fosters community engagement.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680528662134-icon.png?width=75&height=75&resize=contain,False,['crypto'],459,True,,False,50414532,False,,,,#746bf5,en,1680528663,459,0,1704930544,True,114d529e-6182-4a75-8b89-b8f8dcf4dee6
Crypto Fireside,https://www.cryptofireside.com/,"Crypto-related interviews, reviews, guides, and more.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670399500584-1660867596822-fire_1f525.png?width=75&height=75&resize=contain,False,['crypto'],265,True,0,True,3663394,False,,,,#3d0d25,en,1660867598,265,3,1697444663,True,a2433151-93ce-46e5-8627-8f31dcdb31dc
Hayden Otto,https://www.haydenotto.com/,"Crypto Technical & Fundamental Analysis, Education, Reviews, Commentary and Interviews",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705755319819-favicon.jpg?width=75&height=75&resize=contain,False,['crypto'],42,True,10,True,6138006,False,,,,#00e0ff,en,1705755321,142,102,1706276017,True,32b3f213-e8c2-4416-b975-99d1fdd325c0
Band Protocol,https://blog.bandprotocol.com/,Band Protocol is a cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682676520547-bandlogo.png?width=75&height=75&resize=contain,False,['crypto'],134,True,,False,1332701,False,,,,#4520e6,en,1682676521,134,7,1705482729,True,b08ee5fd-6b4e-4465-b985-f1724d0298ed
Decred Magazine,https://www.cypherpunktimes.com/,"An independent publication that looks at the principles of sound money, governance and privacy. Funded by Decred DAO!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664374332578-decred.png?width=75&height=75&resize=contain,False,['crypto'],115,True,0,True,3439391,False,,,,#2e353e,en,1664374334,115,5,1706770828,True,3d48177d-5e06-46dd-b3da-d19f8a4b2884
Attirer Web3 Wire,https://www.attirer.io/,"Attirer Web3 Wire is a trusted source of trending Web3 news, press releases, exclusive interviews, and market analysis in Crypto, Blockchain, Fintech, DeFi, GameFi, AI, Metaverse & NFT spaces.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1696594740463-Attirer_Web3_Crypto_Marketing_Avatar_Black_1000x1000.png?width=75&height=75&resize=contain,False,['crypto'],94,True,,False,775034,False,,,,#000000,en,1678737271,94,6,1706869774,True,7ae8ab98-0651-4033-b82f-dd141122cd8b
Observers,https://www.observers.com/,Observing the moneytech and crypto,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674489166446-1674489127428-1671226232872-1-4.png?width=75&height=75&resize=contain,False,['crypto'],92,True,,False,801485,False,,,,#fa9900,en,1671226236,92,6,1706855221,True,1e7262e2-7501-41df-a6a6-172617700155
"Deepernaut.space - Deeper Network Guides, News and Tips & Tricks for Your Deeper Network Device and the Project.",https://deepernaut.space/,"Explore Deeper Network's Web 3.0 vision, dVPN, and decentralized services at Deepernaut.space. Your concise guide to crypto innovation.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706912794902-new-logo-iltra-low-png.png?width=75&height=75&resize=contain,False,['crypto'],23,True,5,True,10499970,False,,,,#ff40ff,en,1706912796,72.088,0,1706896814,True,2f8a4da1-aaf1-47eb-a4f0-40c55470826c
Triana,https://www.triananewsletter.com/,"Triana is a curated Web3 newsletter delivering key crypto, NFT, and metaverse news and research to your inbox.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679366642703-Global-Profile-Picture.png?width=75&height=75&resize=contain,False,['crypto'],69,True,0,True,10499927,False,,,,#1f5c9e,en,1679366643,69,3,1706737700,True,bd890a58-55b4-434f-aa93-982e63c141ff
Vestorportal,https://vestorportal.com/,"Get up-to-date Cryptocurrency news, analysis, guides, tutorials and insight. Covering Bitcoin, Ethereum, altcoins, NFTs and blockchain technology.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660386669815-logo-512x512-circle.png?width=75&height=75&resize=contain,False,['crypto'],52,True,,False,7819757,False,,,,#000000,en,1660386671,52,2,1669940647,True,275b39e2-e467-4b21-b8f7-52ff91e814fd
Timesnext,https://timesnext.com/,"Stories about Crypto, Metaverse & Startups from #india",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663217876762-timesnext-icon.png?width=75&height=75&resize=contain,False,['crypto'],26,True,0,True,469986,False,,,,#F05A29,en,1663217879,26,5,1706704486,True,1329d517-d44e-48a4-90a2-a025e96eaf3e
Ceylon Cash,https://blog.ceyloncash.com/,The Most Advanced Crypto Community in Sri Lanka.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693004225609-TjdZJxa6YVN8nCo8b9A7iebmHVMoCl44PqxTdOqofEHCSmI3Zhr-GfPqECDYHzH_ZdycuBtoXDGAK08FIlMKa1EolWaUqEZJ7H5f-IkwYWZTvb674-Mvp1cc0iI9M7TDw3VFW--rolY9-p2Kprcopkg5OG4ATWYq4cyAAqDLQYIQ-pya7gGs_mR3NzbeZDHA1LLGuM2CaRJDNS1paWonMZ.svg?width=75&height=75&resize=contain,False,['crypto'],22,True,,False,133888107,False,,,,#bc0101,en;si,1693004227,22,2,1673072614,True,77c52eb2-00b2-4b72-8f28-0faabe755fa1
Nexus,https://blog.nexus.xyz/,Enabling the first externally-aware decentralized applications.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669361914250-1667911798801-cube.svg?width=75&height=75&resize=contain,False,['crypto'],20,True,,False,123360497,False,,,,#0e0e0e,en,1667911801,20,7,1667900333,True,258d8fe3-94c6-4176-b48b-5ccd098cc549
Bitcoin Learning,https://www.bitcoinlearning.org/,"We are still early, Bitcoin fixes this, Stack sats, Few.

Selective adoption is and always has been how any revolutionary technology or transformation comes about. The masses will join by default.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674682112126-bltwitter.png?width=75&height=75&resize=contain,False,['crypto'],18,True,0,True,105760664,False,,,,#FF1A75,en,1673808315,18,1,1703440503,True,b6576d6f-5416-498a-977c-94b545ab7e5d
Spaziocrypto,https://www.spaziocrypto.com/,La community italiana per gli appassionati di blockchain e criptovalute in cerca di contenuti educativi gratuiti e analisi dettagliate.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1696853494612-Pittogramma-orange-14.png?width=75&height=75&resize=contain,False,['crypto'],17,True,0,True,391887400,False,,,,#032538,it,1696853496,17,8,1706605216,True,a19bca66-ce2b-4f73-8859-9f5f01846dd5
FINTECHIMPRESARIO,https://www.fintechimpresario.com/,"Explore finance, tech, crypto, and innovation with Fintechimpresario. Your trusted source for fintech trends, insights, and more. Join the fintech revolution today!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673899446515-android-chrome-192x192.png?width=75&height=75&resize=contain,False,['crypto'],13,True,0,True,10999987,False,,,,#fb0909,en,1673199771,13,0,1696261608,True,8fbef748-4a16-4c17-b813-acf5dff677eb
The Gilgameš Den,https://gilgames.dev/,"Exploring crypto, blockchain, web+, software dev, AI, ethics, well-being, and lifestyle",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682113137049-Dingir_SYMBOL_red-1.png?width=75&height=75&resize=contain,False,['crypto'],5,True,0,True,9999995,False,,,,#ff0000,en,1682113138,5,0,1682112969,True,840d6b72-c1e9-4e12-86ce-71660a2353cc
Pepe,https://pepe.ghost.io/,"Diving deep into tech, tunes, and tales.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693422414001-00029-2571234704.png?width=75&height=75&resize=contain,False,['crypto'],3,True,0,True,9999997,False,,,,#000000,es,1693422415,3,1,1703116966,True,fe5c4033-c1ea-4d75-81e8-c4b242f4c28d
Vestorportal,https://de.vestorportal.com/,"Holen Sie sich aktuelle Nachrichten, Analysen, Tutorials und Einblicke über Kryptowährungen. Wir berichten über Bitcoin, Ethereum, Altcoins, und Blockchain.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/1660386796240-logo-512x512-circle.png,False,['crypto'],1,True,,False,-10500002,False,,,,,,1660386700,1,0,,,c0b528e0-35e0-4b4c-aa19-a60a03381f05
Trade Confident,https://www.tradeconfident.io/,Crypto Metrics and Live Trade Setups that Update daily.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/tradeconfident.png?t=2022-07-19T13%3A15%3A20.258Z?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,-46136566522,False,,,,,en,1658238539,0,0,1649289600,True,c39f1f54-8d57-4da6-beb0-1578fffbfd6b
Mariblock,https://www.mariblock.com/,The leading source of blockchain and digital assets information in Africa,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705512386102-mb-icon-512px-transparent.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,1052395,False,,,,#003366,en,1670877073,0,0,1706271349,True,078a800d-7de5-47da-b13d-0165b80645c2
Manansh Shukla,https://www.manansh.xyz/,🙏🏽 your daily dose of love🙏🏽 ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665712446946-DALL-E-2022-09-04-12.49.58---exploding-super-nova-background.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,1373114,False,,,,#5b47fe,en,1665712448,0,0,1706840916,True,39fdc3fc-a761-4a42-9b32-a2072617c3ee
CoinJar,https://blog.coinjar.com/,"Read the latest Bitcoin and Cryptocurrency news and opinions from the easiest place to buy, sell, and use crypto.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/coinjar.png?t=2022-07-19T12%3A45%3A06.709Z?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,2308707,False,,,,,en,1658238539,0,0,1649289600,True,81373e8e-3505-4b2b-ac96-6345c4f0d93d
Le Blog StackinSat,https://stackinsat.com/blog/,"Les dernières actualités autour de StackinSat, Surfin'Bitcoin et Bitcoin en général.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695307826646-logo-blue-square-512.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,4772830,False,,,,#15171A,fr,1695307827,0,0,1706786506,True,1f477997-b649-48f3-b060-845fa7ab0514
Cryptocurrency News,https://cryptocurrency.news/,"Cryptocurrnecy.news is a premier source for cryptocurrency news, providing the most recent and popular information on everything from Bitcoin to Altcoins",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663498310120-cryptocurrency-news-icon.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,8600081,False,,,,#B576FF,en,1663498312,0,0,1679846353,True,b8ce8bbe-8ea4-4319-8443-9d2662c0542f
Coin University,https://www.coinuniversity.com/,Crypto and Metaverse,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663029849702-Coin (2).png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10000000,False,,,,#3571e9,en,1663029852,0,0,1691165718,True,fee1f381-bf3d-4195-926f-1359cda72b4d
Crypto Master Lebanon,https://www.theanalyst.live/,Crypto market news,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665607477733-2824684A-4240-48C9-A8F4-67A92BD77DF9.jpeg?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10000000,False,,,,#2207ed,en,1665596127,0,0,1691113653,True,edde4cd8-0c17-4fe1-ada2-299a7a0953f4
Metatelegraph,https://metatelegraph.ghost.io/,"The most recent news about the metaverse industry at Metatelegraph. Latest news about metaverse, crypto, bitcoin, gaming, ETF, NFTs & metaverse stocks.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661179518012-metatelehgraph-fav.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10000000,False,,,,#FF5B00,en,1661179521,0,0,1679922078,True,b0ca6a35-7da3-498a-bd74-20146bd3d438
Sentinel Watch Only,https://sentinel.watch/,"Your online companion for your offline and cold storage bitcoin wallets. Track your cold storage, hardware wallets, and paper wallets without private keys.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699353134483-Icon-Gradient.png?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10000000,False,,,,#aa2f47,en,1699353136,0,0,1699274522,False,555ae586-d923-4087-8842-2daa02c5e11b
Lars Solaris Bitcoin predictions,https://larssolaris.com/,Youtube crypto influencers price predictions summarised.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699013111366-fotor_ai_20231024134514_DoW_icon.ico?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10500000,False,,,,#ff1a75,en,1699013112,0,0,1706642675,True,f3b40dda-4019-42e9-a011-f794d59ebb6a
Web3 + AI,https://web3plusai.xyz/,Explore the Synergies of Blockchain and Artificial Intelligence,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702901195097-_b6b669d0-bc40-46b1-b573-ec3516d9ef25--1-.jpg?width=75&height=75&resize=contain,False,['crypto'],0,False,,False,10500000,False,,,,#e8c42a,en,1702901021,0,0,1706883086,True,e672046e-ccf7-4263-9d50-cbf2beee7377
