title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
灵感买家俱乐部,https://ling.school/,一群独立创作者、自学者和冒险者，和一份创作者社群田野笔记。,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701336468089---------.png?width=75&height=75&resize=contain,False,['education'],0,False,3K,True,10497076,False,,,,#3461EB,zh,1696461739,27844.004,1470,1706621067,True,ab207c87-4384-49f4-9efb-f54340d700e9
It's FOSS,https://itsfoss.com/,An independent portal educating people worldwide about Linux and open source.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676558324053-android-chrome-192x192.png?width=75&height=75&resize=contain,False,['education'],26737,True,,False,-17630,False,,,,#00B6BA,en,1662116482,26737,106,1706882511,False,6a1e8945-ba8b-482c-8ce2-ab876d7405c6
Linux Handbook,https://linuxhandbook.com/,"An independent portal focusing on Linux Command Line, Server, Self-hosting, DevOps and Cloud Learning",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660142766354-Linux-Handbook-New-Logo.png?width=75&height=75&resize=contain,False,['education'],16639,True,,False,468892,False,,,,#a52c5b,en,1660142769,16639,87,1706707246,False,609152f1-b11e-4465-96ba-e017f93dc545
Liberating Narratives,https://www.liberatingnarratives.com/,"Decolonizing the teaching of world history by integrating African, Asian, Indigenous, Latinx, and marginalized voices",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699925813527-cropped-LN-Square-512-1x4xa67-1qlxaoh-2cflmo3-150x150.jpg?width=75&height=75&resize=contain,False,['education'],1106,True,1K,True,14427655,False,,,,#f44242,en,1699497941,11757,15,1706713217,True,6211e3c0-7758-4b08-ba3c-455553840aef
Developer Insider,https://developerinsider.co/,"Developer Insider is a community for software developer with articles on different topics and programming languages such as Mobile Application Development , C, C++, Java, Tech News and other topics.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660109798119-DILogo200x200-1-2.png?width=75&height=75&resize=contain,False,['education'],8855,True,,False,1267402,False,,,,#01469b,en,1660109800,8855,33,1706243277,True,6ada5afb-876a-49d0-8732-a01a1b17231e
The Wool Channel,https://www.thewoolchannel.com/,"A publication and community dedicated to the extraordinary world of wool, brought to you by New York Times-bestselling author and wool advocate Clara Parkes.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661965803218-favicon-gold.png?width=75&height=75&resize=contain,False,['education'],7191,True,,False,3467092,False,,,,#db9f21,en,1658238539,7191,17,1706742011,True,06983c1a-f71e-43e9-b797-eadb2817f889
Stark Raving Dad,https://www.starkravingdadblog.com/,"Hey, I'm Stark Raving Dad 👋 These are our notes from a life without school.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677731220027-StarkProfile-2.jpeg?width=75&height=75&resize=contain,False,['education'],5429,True,,False,7151389,False,,,,#ffcc66,en,1677731118,5429,13,1696178310,True,fd91c125-95db-49bb-bf93-73c19f22e533
GA4BigQuery,https://www.ga4bigquery.com/,A digital guide with example queries and tutorials on how to query Google Analytics 4 (GA4) data in BigQuery. Free monthly newsletter for subscribers and weekly premium tutorials for paid subscribers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679229012542-ga4bigquery-2.png?width=75&height=75&resize=contain,False,['education'],5201,True,,False,797636,False,,,,#1a72e8,en,1672600896,5201,63,1706623225,True,8538afa2-9854-43dd-9ba6-bc1f626b4f61
Free to Thrive with Foster Gamble,https://www.freetothrive.com/,"The historic archive of films, blogs and shows from two decades of the Thrive Movement plus new commentary and virtual gatherings exploring the best solutions to the criminal Global Domination Agenda.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687571624294-Gradient-Free-to-Thrive-icon.png?width=75&height=75&resize=contain,False,['education'],4838,True,,False,28004185,False,,,,#9a1179,en,1687571625,4838,12,1705593607,True,3861cdec-7306-4226-b2d4-c2e29d2ea56e
The Rich & Anonymous Newsletter,https://gregjeffries.ghost.io/,"ALL my best knowledge, all in ONE place",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706119466179-Rich%20&%20Anonymous%20Ghost%20listing%20thumbnail.png?width=75&height=75&resize=contain,False,['education'],63,True,473,True,10499436,False,,,,#000000,en,1706119467,4795.799999999999,0,1706014851,True,64677700-2e4f-40e0-a3f8-6e7293138bef
