title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
The Companion,https://www.thecompanion.app/,"Incredible celebrity livestreams and stories you can't find anywhere else. Go deep with 10,000 other Sci-Fi and Fantasy Companions!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675957946294-Default--Black-White--copy.png?width=75&height=75&resize=contain,False,['entertainment'],9922,True,6K,True,184305,False,,,,#e7121b,en,1675941065,73164.70000000001,10,1706788680,True,8e08bd80-2632-4fe5-aeb4-bd5ae415b7ab
Transfer Orbit,https://transfer-orbit.ghost.io/,"A newsletter about science fiction, reading, and the future ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697911759561-f3213bbe-5e36-4f5d-9b3b-806a2387edf6_3132x2349.jpg?width=75&height=75&resize=contain,False,['entertainment'],3190,True,,False,729696,False,,,,#186290,en,1682853929,3190,14,1706811768,True,6b99a66f-9d63-41bb-8abd-9a87cd3ea38c
thesricom.lk,https://thesricom.lk/,"Join the Sri Lankan community of entertainment lovers! Discover the latest movies, TV series, comics, and games that everyone is talking about. Come and join our community today!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701600584413-favicon-4.png?width=75&height=75&resize=contain,False,['entertainment'],2034,True,0,True,19851088,False,,,,#1c1e21,en,1684836712,2034,3,1706871637,True,858dad0e-6471-4046-beff-f2a839b37e38
Sinetopya,https://sinetopya.com/,"Sinema dünyasından en son haberler, fragmanlar, film ve dizi önerileri, listeler, incelemeler... Kısacası sinemaya dair ne varsa Sinetopya'da.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703923504051-LOGO.png?width=75&height=75&resize=contain,False,['entertainment'],883,True,,False,205103065,False,,,,#34687D,tr,1668173223,883,9,1706792652,False,f1f98772-2399-4407-86b2-6a73550efc84
Where Can I Watch,https://www.wherecaniwatch.ca/,"A resource for finding TV shows, movies, and video content in Canada.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1672717183346-wciw-logo-2021-1.png?width=75&height=75&resize=contain,False,['entertainment'],877,True,,False,3855432,False,,,,#f56a6a,en,1672717140,877,1,1706793231,True,c8d19860-130b-42f2-95fc-34c541619f2d
 Notes on K-pop,https://notes-on-k-pop.ghost.io/,A newsletter by an entertainment business journalist and author about the ongoings of K-pop. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704417735248-Screenshot%202023-11-21%20at%206.22.00%20PM.png?width=75&height=75&resize=contain,False,['entertainment'],808,True,,False,10499151,False,,,,#ff1a75,en,1704417736,808,0,1704417107,True,17af29a8-96be-44ed-b549-9f742ff6b5fe
Nearly Media,https://www.nearly.com.au/,Nearly Media podcasts from Australian comedians and entertainers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674468651757-Logo-Blue.png?width=75&height=75&resize=contain,False,['entertainment'],624,True,,False,2614424,False,,,,#1475bd,en,1674468653,624,8,1696766796,True,7aa57726-573a-489b-91b1-35cd4649612a
Matthew Bogart,https://www.matthewbogart.net/,"Slice-of-life comics you'll like from the creator of ""Incredible Doom"" and ""The Chairs' Hiatus""
......
""Incredibly strong and not a little disturbing"" - Cory Doctorow ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668540541810-Untitled_Artwork.png?width=75&height=75&resize=contain,False,['entertainment'],618,True,0,True,1066357,False,,,,#ffaa00,en,1668540545,618,3,1703013041,True,3de1bd01-2095-42df-b7fc-af2baa601776
iWonder documentaries community,https://blog.iwonder.com/,Watch award-winning documentaries...curated around the News,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681782450220-iwonder-symbol.png?width=75&height=75&resize=contain,False,['entertainment'],603,True,,False,22941487,False,,,,#15171A,en,1681782451,603,2,1706131958,True,3d88c039-ac9e-42a1-bece-74bbb0415f4a
Cheap Flights to Bali,https://www.cheapflightstobali.co.nz/,"A subscription-based streaming service that allows our members to view a selection of D.I.Y TV shows, movies and music on an internet-connected device.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700680667971-Screenshot-2023-11-12-at-10.57.34-PM.png?width=75&height=75&resize=contain,False,['entertainment'],65,True,34,True,10499896,False,,,,#fd5100,en,1700680669,405,1,1706339310,True,611cdec9-54ea-4ee5-a877-bce2d6b298af
