title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
G-TV,https://www.gtv.blue/,Short stories. Film. Fantasy.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693056880413-AdobeStock_275079997.jpg?width=75&height=75&resize=contain,True,['fiction'],4850,True,,False,2472101,False,,,,#15171A,en,1677273156,4850,8,1706839200,True,af570815-7ab4-4eaa-95fa-73e5eea097b5
Words and Birds,https://www.wordsandbirds.ink/,"Fiction, Nature Photography, and Spiffy Reading Recommendations from NYT bestselling author Kevin Hearne",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705708736064-wordsandbirdsicon-1.jpg?width=75&height=75&resize=contain,False,['fiction'],1243,True,,False,10498694,False,,,,#77bb41,en,1705708736,1243,0,1705501151,True,29d21028-3916-4ab5-b8d7-fdf1dc2ad81a
The Daddy Issue Club (D.I.C.),https://www.thedaddyissue.club/,Olivia Fox is Writing Naughty Ever Afters for readers who love doting doms and swoony alphas.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682540707269-FB-PROFILE-KITTEN--1--1.png?width=75&height=75&resize=contain,True,['fiction'],497,True,,False,154557623,False,,,,#F6E3EC,en,1682540708,497,3,1706903001,True,d112f791-f742-4a1f-86d3-05be3a8710aa
Joshua Scott Edwards,https://joshse.com/,"Author of epic fantasy, An Ocean of Others, and sci-fi horror serial, Grave of the Waiting. New chapters and newsletters on the 1st and 4th of the month.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667596676534-Ghost%20Explore%20Logo.jpg?width=75&height=75&resize=contain,False,['fiction'],330,True,0,True,1338526,False,,,,#15171A,en,1667596370,330,0,1704420024,True,d86c3631-da9a-471c-87aa-ffdfeedc522e
Scriptorium,https://members.chrisrosser.net/,"Stories, articles and an occasional newsletter by Chris Rosser. Exclusive to members only.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1688042046648-cr-logo-1.png?width=75&height=75&resize=contain,False,['fiction'],310,True,,False,10999690,False,,,,#000000,en,1688042047,310,0,1687849426,True,f24fb0bd-c7c4-451c-a01d-f12703cebd8f
Chokeville,https://www.chokeville.com/,A serial novel about two tough sisters trying to stay afloat in a zesty hardboiled pirate crime city.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704406065325-bottle_logo.png?width=75&height=75&resize=contain,False,['fiction'],265,True,,False,6124210,False,,,,#000000,en,1704406066,265,0,1704400717,True,505c28dc-fb2a-41bd-96f9-698ad84ee534
Working Title Worlds,https://worlds.workingtitle.us/,Stories for Restless Sleep,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698714706556-youtube-watermark-1.png?width=75&height=75&resize=contain,False,['fiction'],233,True,,False,176791105,False,,,,#da45ea,en,1696788491,233,17,1706684361,True,d66ea059-e057-4c70-bfd8-cc4046663cf1
The Stardust Dispatch,https://stardustdispatch.ghost.io/,"Weekly recipes, speculative fiction, and updates from author Mia V. Moss",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668405704172-Logo_Pink-Circle.png?width=75&height=75&resize=contain,False,['fiction'],184,True,0,True,26570339,False,,,,#f55e1d,en,1667154186,184,2,1671158138,True,bfcb9fef-1b27-4137-9e91-ef2620a086d2
William Esmont Books,https://www.williamesmont.com/,I’ve written books about spies and zombies (but not at the same time). Now I’m serializing a near-future survival science fiction novel. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660585944619-publication-icon.png?width=75&height=75&resize=contain,False,['fiction'],183,True,0,True,25575783,False,,,,#16326a,en,1660585948,183,0,1704600438,True,aca15ccc-bae2-411b-b7ff-befc0a366a2e
Heartlines Spec,https://www.heartlines-spec.com/,"Heartlines Spec is a speculative magazine focused on long-term friendships and relationships. It's the comfort of the known, the fierce hug of someone that knows you best.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693236512630-Twitter%20Profile%20Image.png?width=75&height=75&resize=contain,False,['fiction'],170,True,,False,9745264,False,,,,#d71d4c,en,1693236513,170,6,1704035551,True,5bae7b3d-74f5-4713-918f-adc40bb58bce
