title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Heat Death,https://heat-death.ghost.io/,"Two journalists tracking the intersections between ecology, history, and culture.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668733961400-LogoMakr-0mbxcm-1.png?width=75&height=75&resize=contain,False,['history'],315,True,160,True,3187660,False,,,,#a6581c,en,1668733964,1913.8,2,1706166000,True,0f8b27ea-39e5-4744-bd32-e6aa242d797a
The Black Sportswoman,https://www.theblacksportswoman.com/,where Black history meets women's sports,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673925221522-1668221501889-The-Black-1.png?width=75&height=75&resize=contain,False,['history'],1195,True,,False,1011045,False,,,,#15171A,en,1668221505,1195,4,1706792413,True,ca22897d-be32-486d-ab4a-4c9b3f900c27
Obsidian Iceberg,https://www.eleanorkonik.com/,"Nerdy deep dives into ancient history, weird animal biology, notetaking and productivity. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674954774876-favicon-obsidian-iceberg.png?width=75&height=75&resize=contain,False,['history'],838,True,,False,558674,False,,,,#7965D5,en,1659626804,838,11,1699365354,True,f6db3acf-f2dd-4799-9ab1-406979e12da7
The History Islands,https://the-history-islands.ghost.io/,Stories and legends from the Channel Islands.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704057919581-The%20History%20Islands%20Final%203.jpg?width=75&height=75&resize=contain,False,['history'],806,True,,False,10499153,False,,,,#ff1a30,en,1704057920,806,0,1702281877,True,d747a9f0-cda8-4570-ba1d-9be021d50e85
The Garden of Memory,https://www.gardenofmemory.net/,"The blog and newsletter of historian Sean Munger, looking at the past as a living garden of human experiences.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675628506026-garden%20orb.jpg?width=75&height=75&resize=contain,False,['history'],142,True,43,True,20303270,False,,,,#1e660f,en,1675628507,574.8,5,1706735740,True,50ab7234-9b09-4ca8-861d-53e520031e4a
Wiggleman,https://wiggleman.ghost.io/,Elvis stuff.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668196973693-C4239745-427D-46CD-850D-7F8E6FC27CC6.jpeg?width=75&height=75&resize=contain,False,['history'],251,True,0,True,9999749,False,,,,#ff1a75,en,1668196977,251,1,1687815864,True,c8a41d13-e79c-4940-9330-b71bffee00aa
The Red Haired Stokie,https://www.theredhairedstokie.co.uk/,Unravelling the secrets of Stoke-on-Trent and Staffordshire's past,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701191643731-Orange-Green-Vintage-The-Long-Journey-Circle-Logo--1-.png?width=75&height=75&resize=contain,False,['history'],162,True,,False,48846743,False,,,,#ff0000,en,1679916233,162,8,1706554159,True,27d7513c-cb09-4b03-8507-0991ad4e79e5
Postcard Past / Present Photo,https://www.postcard-past.com/,"Exploring power, culture, & the history of cities through present-day photo recreations of old postcards.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690162868749-Merchandise%20Mart%20Combo%20-%20small.png?width=75&height=75&resize=contain,False,['history'],31,True,0,True,77776354,False,,,,#f7d490,en,1690162869,31,6,1706283011,True,bdefb42b-9031-47cf-a706-3a07c51ec0bf
Africa History Weekly,https://www.africahistoryweekly.com/,Weekly African Political History,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681071965258-Screenshot%202023-04-09%204.24.02%20PM.png?width=75&height=75&resize=contain,False,['history'],12,True,,False,9999988,False,,,,#100a0a,en,1681004457,12,3,1681692976,True,39132b8a-842a-45e8-8d8f-0357229cd25e
In Our Blood Documentary,https://inourblooddocumentary.ghost.io/,Telling the story of tattooing in Australia from the convict ships to present day,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683714000386-tattsmlfavs.png?width=75&height=75&resize=contain,False,['history'],0,False,,False,10000000,False,,,,#e70d18,en,1683714001,0,0,1700887920,True,13799ca4-d99a-4723-9200-eb171fe2b49a
Crazy Alchemist,https://www.crazyalchemist.ch/,"Entdecke das Geheimnisvolle mit Crazy Alchemist. Wir bieten Geschichten, Kräuterwissen, Filmempfehlungen, Parfümkurse und Holzschnittdrucke. Tauche in die Alchemie ein!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687853564512-Asset%2017@2x-100.jpg?width=75&height=75&resize=contain,False,['history'],0,False,,False,10500000,False,,,,#c11a1a,de,1687853565,0,0,1704550667,True,fb0a167e-be42-4000-95c6-c3b1d479f091
Dumb History of Everything,https://dumb-history-of-everything.ghost.io/,"History is nothing but an agreed-upon fable. It's often written by winners, yet occasionally, its penned by losers like me.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706524897877-IMG_8433-2.jpeg?width=75&height=75&resize=contain,False,['history'],0,True,0,True,10500000,False,,,,#891b0c,en,1706524899,0,0,1706523318,True,05e15bdc-e325-4d73-b646-e7fddbd0bca9
Continental Empires,https://continental-empires.ghost.io/,"Continental Empires is an independent publication launched in Jan. 2023. Subscribe & get access to groundbreaking articles, seminars, books and lectures by Prof. Muhammad Shamsaddin Megalommatis.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678986624842-Xb8vn0mCCqQ1.jpg?width=75&height=75&resize=contain,False,['history'],0,False,,False,11000000,False,,,,#600060,en,1678986626,0,0,1676891550,True,cd3aa976-ce0c-415e-9ceb-f87cbda12a87
Women in History,https://womeninhistory.education/,Well behaved women seldom make history,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671289413611-Frame-10--1-.png?width=75&height=75&resize=contain,False,['history'],0,False,,False,15034308,False,,,,#FD7373,en,1671289414,0,0,1671282364,False,eec526c6-f44e-407b-944f-ea92c4184973
Crazy Alchemist,https://www.crazyalchemist.com/,"Discover the mysterious with Crazy Alchemist. We offer stories, herbal knowledge, movie recommendations, perfume classes, and woodcut prints. Dive into alchemy!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687853776310-Asset%2018@2x-100.jpg?width=75&height=75&resize=contain,False,['history'],0,False,,False,152616067,False,,,,#c11a1a,en,1687853777,0,0,1704550491,True,52e0f9af-a960-4fa3-b5d6-c34a93d86ef9
