title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Tangle,https://www.readtangle.com/,"Summarizing the best arguments from across the political spectrum. 100% independent, ad-free, and non-partisan.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/tanglebrain.png?width=75&height=75&resize=contain,False,"['politics', 'news']",111377,True,64K,True,1031714,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/tangle.jpg,#fff,#0040ff,#0040ff,en,1659639201,753717.6,3555,1706892923,True,4ad84b4f-0231-4647-8a2c-ba2a527089fa
The Lever,https://www.levernews.com/,Award-winning journalist and Oscar-nominated writer David Sirota conducts investigative journalism about holding people and corporations manipulating the levers of power accountable.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660696003354-LEVERFavicon-BorderWhite.png?width=75&height=75&resize=contain,False,"['politics', 'news']",106077,True,,False,-76049,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/thelever.jpeg?width=600&height=426&resize=cover,#ffffff,#323A57,#333333,en,1658238420,106077,726,1706873412,True,770bf2a2-a29d-4344-bd1d-ddc718a9c585
The Berkeley Scanner,https://www.berkeleyscanner.com/,"Independent crime + safety news for Berkeley, CA",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666120792032-The-Berkeley-Scanner_Icon_Color-1.jpg?width=75&height=75&resize=contain,False,['news'],0,False,10K,True,1012117,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/berkeleyscanner.png?width=600&height=426&resize=cover,#15171A,#EBB29A,#385676,en,1666036208,95480.7,290,1706852570,True,1cc90861-d8a0-405c-8eca-335fc7a5eba6
Whitepaper,https://www.whitepaper.com.mx/,Lo que la comunidad empresarial debe saber,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690933228367-icon-transparent.png?width=75&height=75&resize=contain,False,['news'],62975,True,26K,True,15528949,False,,,,#e32400,es,1690933229,325177.7536,136,1706790689,True,ee4df24c-549f-458a-970e-068c80e01c86
Future Crunch,https://futurecrunch.com/,"We report stories of progress for people and the planet, and make your inbox a more hopeful place.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698882064523-Logo%20Pip%20Full%20Black%20Small.png?width=75&height=75&resize=contain,False,['news'],55758,True,,False,532161,False,,,,#ff0089,en,1658238539,55758,0,1706759324,True,565a1c70-54c3-4cea-ac03-ecefd89a2c94
Wake Up To Politics,https://www.wakeuptopolitics.com/,"A reliable guide to American politics, in your inbox every weekday morning.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673888745923-WUTP-clock-color-screen.png?width=75&height=75&resize=contain,False,['news'],43667,True,,False,1454475,False,,,,#003cff,en,1665614983,43667,26,1706801357,True,347869b5-ebeb-4663-bb04-7654557f6789
新闻实验室Newsletter,https://newsletter.newslab.info/,由传播学研究者方可成发起，提供关于传媒、科技、社会的新鲜视角和深度解读。,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676444895078-logo200.png?width=75&height=75&resize=contain,False,['news'],41513,True,,False,11174292,False,,,,#426e00,zh,1676444896,41513,19,1706542909,False,f88f076e-5a53-4400-82fb-4c5507cee7d2
Français à Londres,https://francaisalondres.com/,L'incontournable magazine des francophones. Recevez gratuitement les infos de la semaine chaque vendredi matin et rejoignez les 35 000 membres avides d'infos,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660456375265-FAL-favicon.png?width=75&height=75&resize=contain,False,['news'],39328,True,,False,3819862,False,,,,#0050a4,fr,1660456377,39328,21,1706853657,False,6b8d4a71-8364-40a2-952f-d826c2dc191b
OK Doomer,https://www.okdoomer.io/,Escape wishful thinking.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701933138080-Ok-Doomer-Logo-2.png?width=75&height=75&resize=contain,False,['news'],20636,True,,False,3179608,False,,,,#d83a05,en,1701931227,20636,16,1705368109,True,c0aff2dc-84bb-47b1-9d27-0ab03bf114d0
TFTC – Truth for the Commoner,https://tftc.io/,"A media company focused on Bitcoin, Beauty, and Freedom in the Digital Age.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701711799810-TFTC_01_Cream_1000.png?width=75&height=75&resize=contain,False,['news'],16002,True,,False,658632,False,,,,#15171A,en,1660138860,16002,21,1706898274,True,7a68853d-4366-4ad4-890d-9440a38084a9
London SE1,https://www.se1.news/,"Local news for a postal district of London, UK: the Bankside, Borough, Bermondsey, Elephant & Castle, South Bank & Waterloo neighbourhoods.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701385764389-se1_log_400x400%20copy.png?width=75&height=75&resize=contain,False,['news'],7377,True,,False,10492254,False,,,,#ff9999,en,1701385766,7377,0,1701291737,True,7b6983f2-5976-42ee-8c3d-57e7dd73b1c8
Mr. Jugendarbeit,https://www.mrjugendarbeit.com/,"Hier dreht sich alles darum, Beziehungen zu stärken und Glauben zu fördern mit praktischen Ressourcen, die speziell für die Arbeit mit der Generation Z entwickelt wurden.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681382988706-New_MRJ_icon_color.ico?width=75&height=75&resize=contain,False,['news'],6252,True,,False,7422785,False,,,,#813772,de,1660371275,6252,32,1706869496,True,bdbebe86-611c-47e4-b6d1-ba09e066a5bb
Disability Debrief,https://www.disabilitydebrief.org/,Explore disability around the world with this engaging and specialist guide. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669659088711-1665581666370-portrait-katan-oct2021-cropped-square-1.jpg?width=75&height=75&resize=contain,False,['news'],2576,True,365,True,2439669,False,,,,#0222b1,en,1665581668,6221.964,16,1706714801,True,e557fcfd-8be5-4ebf-8108-2bb25c6d3789
Sioux Falls Simplified,https://www.sfsimplified.com/,Feel smart about where you live. We make it simple.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670263788186-Untitled-design--2-.png?width=75&height=75&resize=contain,False,['news'],6183,True,,False,1270027,False,,,,#90bdb0,en,1670263791,6183,48,1706702203,True,9493ad34-5a76-4189-b351-2922596ba478
Spark of Genius,https://www.sparkofgenius.org/,"Guidance, tools, and inspiration for aspiring change leaders. Newsletters: Good News For Humankind. Change 101. Humanity Is Beautiful.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1685935501218-Spark-of-Genius-flame-logo.png?width=75&height=75&resize=contain,False,['news'],4798,True,,False,96424547,False,,,,#009bad,en,1685935502,4798,6,1706817876,True,3cf301d6-b407-4f37-8b75-fa74f73d4a70
"We, The Citizens",https://www.wethecitizens.net/,"Singapore, covered from a rights-based perspective. A wrap-up every weekend, with analyses, commentary and original reporting in-between.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667635065507-Logo.png?width=75&height=75&resize=contain,False,['news'],4267,True,,False,1135813,False,,,,#d23420,en,1658238539,4267,0,1706313600,True,6b993cb0-7a8c-461b-ba53-7bdac094d036
EV in Focus,https://www.evinfocus.com/,EV in Focus: e-mobility news and analysis for business,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697706663449-EViF-Favicon.png?width=75&height=75&resize=contain,False,['news'],3976,True,0,True,82980915,False,,,,#b0b300,en,1697706664,3976,167,1706809366,True,93d49e59-09d4-41ea-af1c-f0cc846193d8
The Raincross Gazette,https://www.raincrossgazette.com/,"A locally owned newsroom for residents of  Riverside, CA. Our primary driver is newsletter sent 3x/week.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692754072692-rg-1.png?width=75&height=75&resize=contain,False,['news'],3886,True,,False,6167206,False,,,,#C56428,en,1692754073,3886,7,1706792443,True,6d997871-d7f8-41ce-a225-bc82bfbd97ba
The Roanoke Rambler,https://www.roanokerambler.com/,Local. Investigative. Literary.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679518275817-RoanokeRambler_favicon.png?width=75&height=75&resize=contain,False,['news'],3449,True,,False,1146286,False,,,,#0046eb,en,1674524096,3449,15,1706700624,True,30941e0a-28cc-485f-8938-3fb6e6e5acd1
The Brighton Seagull,https://seagull.news/,"The best of Brighton and Hove news and events, three times a week.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692994284847-seagull_icon_new--1-.png?width=75&height=75&resize=contain,False,['news'],1172,True,201,True,26759504,False,,,,#86D7B7,en,1662035704,3178,4,1706511603,False,85a01c12-c50a-4232-bf7e-d930b5e16480
Mecseki Müzli,https://www.mecsekimuzli.com/,"Minden csütörtök reggelre kiválogatjuk, amit Pécsről tudnod kell és tudni érdemes a héten. Iratkozz fel, próbáld ki a hírlevelet!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705606043978-muzli_newlogo_final_02_900.png?width=75&height=75&resize=contain,False,['news'],0,False,315,True,7058051,False,,,,#ff0000,hu,1660056814,3152.1,0,1706765442,True,a71e3ea4-7fa3-4a55-882c-e97e6b4570b4
SanAngelo.News,https://www.sanangelo.news/,"local news, sports for San Angelo by San Angelo",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693495555479-5D5A0187-E2C2-4E33-A6CA-8DC0A883ADF6.png?width=75&height=75&resize=contain,False,['news'],705,True,216,True,38233912,False,,,,#e86d6d,en,1668440232,2868.6,2,1695693263,True,5aa6d17e-3249-4e4b-b0cd-c4d0d05d0fa5
The Last Ambulance / La Derniére Ambulance,https://www.thelastambulance.com/,The Last Ambulance / La Dernière Ambulance is tracking the crisis in emergency prehospital care.  ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679688603572-BlakeColorHeadOnbw-1.jpg?width=75&height=75&resize=contain,False,['news'],2614,True,,False,6222761,False,,,,#00509f,en,1679688516,2614,0,1706884644,True,df58b670-4244-4da8-8645-065fb2a85a18
Asia Undercovered,https://www.undercovered.asia/,"Bi-monthly round-ups and in-depth analysis of undercovered news, events, trends and people changing Asia, by journalist Nithin Coca.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687483571265-No-Text-Logo-transparent-60X60.png?width=75&height=75&resize=contain,False,['news'],2308,True,,False,27120744,False,,,,#ff8000,en,1687483572,2308,29,1702364751,True,13fede48-55da-473f-93c5-074fd42d5d6d
The Bad Newsletter,https://badnewsletter.ghost.io/,"Journalism about journalism: The Bad Newsletter looks at news media, think tanks, and climate change.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706751635407-bad-newsletter-logo-1.jpg?width=75&height=75&resize=contain,False,['news'],1516,True,69,True,10498335,False,,,,#ff1a75,en,1706751636,2207.2,0,1706659213,True,6ad152f9-f4c8-4c9a-9796-7d279e0b96df
Great Central Gazette,https://www.greatcentralgazette.org/,"We publish investigations, features, culture and events to keep you informed of what’s happening around Leicester. Owned by the community, for the community.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692473103336-PrimarySquare400x400-2.jpg?width=75&height=75&resize=contain,False,['news'],405,True,175,True,3424758,False,,,,#e7438a,en,1683877692,2152.58,16,1706508048,True,d3e26acc-a242-4f2b-a37e-7d9c344bebd0
하우스메이트(Howsmate),https://mate.sharehows.com/,"꿀팁, 리뷰 노하우 등 크리에이터들의 생생한 경험을 큐레이션 합니다. 하우스메이트들과 함께 일상에서 찾은 노하우와 꿀팁을 알려드려요!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700721570943---------_500.png?width=75&height=75&resize=contain,False,['news'],1978,True,,False,10497923,False,,,,#A7D500,ko,1692263416,1978,13,1706513116,False,8084e91b-4901-4409-9c28-1276e1b9048b
tag eins Magazin,https://www.tageins.at/,Journalismus für Lösungen – gegen den Frust.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698415618891-tag-eins-logo-social-media-schwarz.png?width=75&height=75&resize=contain,False,['news'],1945,True,,False,2445707,False,,,,#ed1764,de,1695985065,1945,4,1706770854,True,580f15c3-d1b9-4748-811d-913841564f27
Black Catholic Messenger,https://www.blackcatholicmessenger.org/,Nonprofit media amplifying Black Catholic voices since 2020.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662064186310-ghostsquare.png?width=75&height=75&resize=contain,False,['news'],1863,True,,False,10498043,False,,,,#15171A,en,1662064187,1863,38,1706816407,True,a1c116d2-9a5f-47fa-9526-0781353b5d36
Beautiful Public Data,https://www.beautifulpublicdata.com/,"A curated selection of visually interesting datasets collected by local, state and federal government agencies. By Jon Keegan.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664210131780-square.png?width=75&height=75&resize=contain,False,['news'],1574,True,,False,1406786,False,,,,#0fadb8,en,1664210133,1574,32,1706540450,True,51ae8198-57e8-408c-9840-a0a709369dd4
