title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
One New Thing a Day,https://www.onenewthingaday.us/,"I write about Art, Parenting, AI, Change Management, ADHD and Long Covid.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703118026347-Add%20a%20heading-8.jpg?width=75&height=75&resize=contain,False,['parenting'],104,True,6,True,10499884,False,,,,#008cb4,en,1703118027,166.5,161,1706364138,True,c149f8d4-859e-4615-9cf0-58812cdbd7ff
Enhancing Learning,https://www.enhancinglearning.com.au/,"Building Understanding: Fostering Adult Growth in Promoting Creativity, Connections, and Conversations for Every Child",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676360810686-1672462472630-1669607927660-EL-Logo-2-4.png?width=75&height=75&resize=contain,False,['parenting'],158,True,,False,124019734,False,,,,#14a7bd,en,1669607931,158,3,1692237494,True,36b0ce6d-b331-4e4a-adee-2cd5073bbcf5
Walking With Daddy,https://walkingwithdaddy.com/,"Nature, life, biophilia and exploring the great outdoors with my daughters.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667237968393-1660255167779-wwd-icon.png?width=75&height=75&resize=contain,False,['parenting'],139,True,,False,29821951,False,,,,#047101,en,1660057080,139,0,1673878079,True,7fba1af3-4d89-4181-9289-37f7ab5e91b2
The North Pole Times,https://thenorthpoletimes.com/,The latest news and festivities from The North Pole.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669132142947-1668890824072-favicon.svg?width=75&height=75&resize=contain,False,['parenting'],134,True,0,True,9999866,False,,,,#d41616,en,1668890827,134,1,1703239251,True,35b67a00-6f78-4dda-b3ee-26961a6bbef5
Tidy Husband ,https://www.tidyhusband.com/,At the intersection of meltdowns and mess,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705614380598-1000007024.png?width=75&height=75&resize=contain,False,['parenting'],22,True,0,True,9999978,False,,,,#3d8ecc,en,1705614377,22,0,1702399415,True,d05d109e-c09e-4567-8fee-5893647a328e
Revive Baby,https://revivebaby.com/,"The online blog for baby guides, reviews, and much more. Subscribe for the latest updates and articles.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660134543018-favi.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,533350,False,,,,#F35588,en,1660134545,0,0,1696680734,False,8f06eb2a-4f47-412e-b9d5-ecf7b3c198ad
Moms Justice,https://www.momsjustice.today/,"Justice and Compensation for Victims of Toxic Baby Formula, RoundUp, Zantac, Tylenol and more...",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1672600656037-Original-Logo.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,1344400,False,,,,#4050c9,en,1672600659,0,0,1706821193,True,2ad4aef5-e438-4f16-93e9-0fedbf5abf78
Our Spectrum Adventures,https://www.ourspectrumadventures.com/,"We are an outdoor adventure obsessed, home educating, neurodiverse, cancer surviving world record holding family living in Scotland, UK... (I think that covers the basics)",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675030613399-Our-Spectrum-Adventures-Site-Icon-1000-px-TP.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,3341901,False,,,,#E95734,en,1675030614,0,0,1705864475,True,339c4682-c2f4-481e-8e9c-32b042ff9a23
Rascal Book Club,https://www.rascalbookclub.com/,Join a community of parents and childcare professionals getting new children's stories by email every day.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673544002491-A.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10000000,False,,,,#54CBCA,en,1673544003,0,0,1673888454,True,ab5201d1-3501-4b94-91b2-78d28aad9a25
TbhwithKris.org,https://tbhwithkris-org.ghost.io/,To Be Honest with Kris,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684313422638-WhatsApp-Image-2023-05-01-at-07.21.45.jpeg?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10000000,False,,,,#6f766f,en,1684313424,0,0,1698660060,True,0cd36e05-5360-4b52-9647-3652fb2eb201
LifeasMammy,https://lifeasmammy.com/,"Your all in one resource from Pregnancy to Mammy. Sharing First Hand Experiences, Product Reviews, Symptom Diagnosis and Solutions",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704455295419-logopublication500x500.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10500000,False,,,,#ea367e,en,1704455296,0,0,1704294574,False,e977c323-4a30-44a0-8e2d-89a9033c49a3
Pawesome Parenting,https://www.pawesomeparenting.com/,"Pawesome Parenting: Expert tips on pet health, nutrition, and wellness. Engaging content for pet lovers eager to enhance their pet care journey!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702525073669-webclip-1.png?width=75&height=75&resize=contain,False,['parenting'],0,True,0,True,10500000,False,,,,#dcb5ff,en,1702525074,0,0,1702522921,True,d7b2cc55-78e8-4f76-806d-9ef44d49f0f5
The WFH Parent,https://thewfhparent.com/,"Advice, reviews, and learnings from a work from home parent.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699570168692-WFH%20Logo.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10500000,False,,,,#14213d,en,1699570169,0,0,1706709622,True,ce32503c-3c71-48f6-8e14-1210e8145d8e
Let's Ask Your Mom,https://www.letsaskyourmom.com/,"Subscribe to my blog for parenting, travel, food knowledge from this NYC mom.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702167284534-Logo.png?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10500000,False,,,,#CC0099,en,1680108976,0,0,1706706532,True,caf7f4f3-a971-47e9-a0a5-e0c1c375a676
Mami zu Mami,https://www.mamizumami.de/,"Elternblog | Mami zu Mami | Ratgeber, Tipps & Erfahrungen",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693552388085-mamiZuMamiBlueWhite2-5.svg?width=75&height=75&resize=contain,False,['parenting'],0,False,,False,10500000,False,,,,#ff1a75,de,1693552389,0,0,1704981610,True,392a2834-007a-43ab-9829-1f82c8494f37
