title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
indi.ca,https://indi.ca/,Views from the Third World. Earth. Philosophy about the end of the world and White Empire from the whip end of it in Sri Lanka. ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687755264285-indrajit-samarajiva-premila-sister-house.jpeg?width=75&height=75&resize=contain,False,['philosophy'],2948,True,612,True,669527,False,,,,#0433ff,en,1660275158,9067.2,7,1706892502,True,b7f4ee0c-1d1a-4357-8986-bbdfc0e5004a
The New Philosophy,https://www.thenewphilosophy.com/,"Philosophy that amuses, educates, and entertains.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670395881386-thenewphilosophyraphael.jpg?width=75&height=75&resize=contain,False,['philosophy'],153,True,120,True,15749537,False,,,,#138edf,en,1670395885,1352.9,20,1706175336,True,88f2f631-7771-4336-a0ec-13a2e96ecddc
Everyday Stoicism,https://www.everydaystoicism.com/,Everyday Stoicism is a weekly long-from essay to help you better understand and practice the Ancient Greek & Roman philosophy of Stoicism in your everyday life. Written by Tanner Campbell.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697238070180-everyday-stoicism-4.png?width=75&height=75&resize=contain,False,['philosophy'],79,True,46,True,10499868,False,,,,#262322,en,1696317483,539,0,1704631069,True,3e3a790b-4139-49fe-8aff-5b1898644ba7
Ultrawinning,https://www.ultrawinning.com/,"If life were a game, how would you win? Asking the difficult questions that make you squirm. Personal development for the 1%. Launched July 2023.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690385493431-Social_Profile_Mirko%20no%20text.jpg?width=75&height=75&resize=contain,False,['philosophy'],19,True,24,True,9999981,False,,,,#000000,en,1690385494,259,0,1698777198,True,9cd8e872-aab1-4296-9da4-36c46141a26b
Surplus Jouissance,https://www.surplusjouissance.com/,"[S][J][P] is a blog, email newsletter, and series of podcasts focusing on how Lacanian Psychoanalysis intersects with the humanities. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666664398277-IMG_3294%203.jpg?width=75&height=75&resize=contain,False,['philosophy'],100,True,15,True,19826705,False,,,,#e42620,en,1666664399,253.3,73,1706887011,True,d66538fb-0eee-4af8-963a-f94b6a051f82
Conectorium,https://www.conectorium.com/,"Plataforma de libros y lecturas filosóficas, históricas, culturales y políticas. Todo el contenido forma un libro o enciclopedia circular.
",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664165208398-Conectorium-isotipo.png?width=75&height=75&resize=contain,False,['philosophy'],237,True,,False,68385411,False,,,,#b0b0b0,es,1664165210,237,8,1706694939,True,d6c5aff6-48d4-4c3b-bc9f-df050ad2f785
利世民,https://www.unsubject.com/,利世民，香港人，信奉古典自由主義，樂天知命，不問鬼神；自媒體主筆，平均每半年就有一個新興趣，涵蓋政治、經濟、歷史、哲學。,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697076942449---highres.png?width=75&height=75&resize=contain,False,['philosophy'],212,True,,False,82156988,False,,,,#554615,en-us,1663163044,212,0,1706363971,True,d7f5e2e9-c306-4e11-be2a-a29510012ab1
WILD Studios,https://www.wildstudios.co/,WILD Studios is a self development studio and rewilding community.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671133020606-Frame-85.png?width=75&height=75&resize=contain,False,['philosophy'],184,True,,False,9999816,False,,,,#996c2f,en,1671133024,184,1,1696337536,True,a0925738-c354-4905-8763-862ef9431561
Se Regarder Voir,https://www.se-regarder-voir.com/,"… Et se voir regarder.
Être les témoins de notre regard sur le monde, affiner collectivement la qualité de notre conscience et questionnant notre « meaning-making ».",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665235090373-Logo complet - fond blanc.png?width=75&height=75&resize=contain,False,['philosophy'],165,True,0,True,48497019,False,,,,#545454,fr,1665235091,165,5,1705129478,True,21f1df22-c2cc-49b7-82d0-d439441f324b
Samsara Diagnostics,https://www.samsara.clinic/,Religion | Philosophy | Psychoanalysis -- Words from the clinic to the catacomb,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683423333645-53376062_padded_logo-11.png?width=75&height=75&resize=contain,False,['philosophy'],131,True,,False,11204322,False,,,,#a999d9,en,1683423334,131,23,1705074493,True,4af00076-2410-4d84-a14b-f84fe9f998a9
Jane Sturgeon,https://www.janesturgeon.com/,"Civil Funeral Celebrant; stories, perspectives, courses and articles on life, love, grief, loss, challenges and hope.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666264083921-60-x-60-px-logo.png?width=75&height=75&resize=contain,False,['philosophy'],84,True,,False,17326264,False,,,,#443e8e,en,1666264085,84,1,1706857220,True,58e765ef-2f54-4f17-9427-d299a507604e
Live'n'Learn,https://www.johannesgronim.us/,Case Studies for Life,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1696846400753-JG-icon-2.png?width=75&height=75&resize=contain,False,['philosophy'],36,True,,False,10499962,False,,,,#CB845B,en,1696846402,36,3,1706511647,True,bc5dd20c-41f7-47d5-a799-b0d02c2d2e61
