title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Istvan Magyar Photo,https://imagyarweddings.com/,"Documentary Wedding Photography by Istvan Magyar. Unique wedding stories, family and portrait pictures. Tutoring available. Scotland, UK, Europe and worldwide.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705385089857-salmon-icon.png?width=75&height=75&resize=contain,False,['photography'],795,True,,False,17866976,False,,,,#87529a,en,1705384286,795,0,1705514443,True,3e914b09-55d6-4bc7-ba73-3d8953ddadd7
Todd Dominey,https://blog.dominey.photography/,"Photography tutorials, gear reviews, giveaways, videos, and stories from the field.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668017693684-avatar-utah-800px.jpg?width=75&height=75&resize=contain,False,['photography'],788,True,,False,10499172,False,,,,#000000,en,1665002852,788,8,1706463356,True,27eb8e97-8e50-4063-80f0-ea0ce575c0b5
"Cliff Endsley - Tales of Adventure, camera in hand",https://blog.cliffendsley.com/,"Tales of Adventure, camera in hand.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697371854315-celogoblack-100x100.png?width=75&height=75&resize=contain,False,['photography'],745,True,,False,9999255,False,,,,#000000,en,1697371855,745,0,1700346863,True,4839c3ac-0786-4650-bb51-48210a3eb73d
photomojo,https://www.photomojo.au/,A marketplace for photographic experiences in Australia,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682929721677-Screenshot-2023-02-10-at-12-57-09-Sans-Serif-Fonts-MyFonts.png?width=75&height=75&resize=contain,False,['photography'],317,True,,False,18553947,False,,,,#ff1a75,en,1675766339,317,2,1706886944,True,dfdc051f-af85-42da-94fa-b93c9d848f23
Mitchel Lensink,https://mitchellens.ink/,"is an (urban) landscape and documentary photographer from Amersfoort, The Netherlands.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660056967737-De-Lens-Logo-Icon-Color-300x300px.png?width=75&height=75&resize=contain,False,['photography'],149,True,15,True,4546910,False,,,,#f9a602,en,1660056969,302.3,10,1706619988,True,bbbbe4e4-50d0-4c68-99f0-d85e68efc3e8
 Journal,https://journal.rajeshtaylor.com/,by London Family Vacation Photographer Rajesh Taylor,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664228911231-Profile-Pic-Template.png?width=75&height=75&resize=contain,False,['photography'],140,True,,False,6659210,False,,,,#607f85,en,1664228912,140,0,1706538758,True,a60e2729-8035-4fa8-afee-be1f2370a948
A postcard from Japan,https://news.gregjeanneau.com/,Japan through the eyes of a photographer.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670468579274-half-frame.jpg?width=75&height=75&resize=contain,False,['photography'],136,True,,False,4344706,False,,,,#333333,en,1660119710,136,0,1703833256,True,d8084373-aa6b-4b18-9218-35dc3d7aea8c
Archival Recordings,https://www.archivalrecordings.com/,Archival Recordings is a documentary urban landscape project by Kwasi Boyd-Bouldin.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705442932259-web-StructureIcon.png?width=75&height=75&resize=contain,False,['photography'],84,True,,False,10499911,False,,,,#14171d,en,1703824371,84,1,1706668647,True,4260edd8-a420-495f-9066-b95302118e5a
Hermosawave Photography,https://blog.hermosawavephotography.com/,Hermosawave Behind The Shot,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683029961587-2016_squareLogo.jpg?width=75&height=75&resize=contain,False,['photography'],46,True,,False,72980812,False,,,,#336699,en,1683029963,46,2,1706554051,True,c336dd7c-e91e-4b58-b8e5-04096f608783
Giovanni Bertagna,https://www.bertagna.it/,"FOTOGRAFIA, TECNOLOGIA E ALTRE PASSIONI",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695714521136-logo-sito-circle---64x64-Affinity.png?width=75&height=75&resize=contain,False,['photography'],40,True,,False,567886,False,,,,#E89D1D,it,1660110215,40,5,1701529222,True,660db9d0-055d-4c16-9e90-66967ecdb68d
