title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Mohammad Badhruddouza Khan,https://buffyhridoy.digitalpress.blog/,I’m 4th Biomedical Engineering Student at Khulna University of Engineering & Technology. I have been working on Machine Learning for 3 years and Data Analysis for 1 years.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673799997356-buffy%20pic.jpg?width=75&height=75&resize=contain,False,['science'],39003,True,0,True,10960997,False,,,,#FF1A75,en,1673799998,39003,1,1673796023,True,0d45cf3f-c755-4507-b5ea-22dcddacc1c6
Omic.ly,https://www.omic.ly/,A weekly email newsletter on omics and clinical laboratory diagnostics.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703333957465-omicly.png?width=75&height=75&resize=contain,False,['science'],0,False,305,True,10499679,False,,,,#000000,en,1701636823,3049.3,160,1706447131,True,341e5706-3ae5-4877-a0cb-3244b764a0a9
L'Économiste Sceptique,https://www.ecosceptique.com/,La science économique comme vous ne l'avez jamais lue,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664718594724-es-logo-tw+fb-v3@2x.jpg?width=75&height=75&resize=contain,False,['science'],2631,True,,False,7747929,False,,,,#dc1435,fr,1659863424,2631,1,1703181602,False,acd628db-a101-46e9-9f97-8eee243e6c4c
PT CRAB Newsletter,https://ptcrab.org/,"A Newsletter of Physical Therapy Clinical Research, Awesomely Brief",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687357215755-PT-Crab-Logo-with-Text.png?width=75&height=75&resize=contain,False,['science'],2296,True,,False,5063629,False,,,,#0be389,en,1687357216,2296,40,1706702453,False,cac7e2fb-e29e-4b5d-800d-53241205c766
Marionomics,https://www.marionomics.com/,Aprende Econometría y Ciencia de Datos con R y Python.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667835938246-Logo-Marionomics-3.png?width=75&height=75&resize=contain,False,['science'],1037,True,,False,10498911,False,,,,#154957,es,1663214073,1037,0,1706833109,True,94903071-236b-4be5-ae7f-a5bf0af05395
John Hawks,https://johnhawks.net/,Exploring the science of human origins,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671495464086-Asset-7@2x.png?width=75&height=75&resize=contain,False,['science'],908,True,0,True,14339,False,,,,#d95000,en,1671495467,908,26,1706446316,True,ab46deec-5e7d-4fc7-b49e-4fe4f2b6ceba
Train Canine,https://www.traincanine.com/,"We're changing the way people think about dog training. Train Canine is the leading source of dog training content for dedicated dog owners, established animal trainers, and dog behavior consultants. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671235200082-slack-team-icon-copy.png?width=75&height=75&resize=contain,False,['science'],420,True,,False,47654465,False,,,,#459cb1,en,1671235203,420,5,1706555848,True,e58e5e01-cb17-486a-9b1d-cb95e972231d
WeatherHawks,https://www.weatherhawks.com/,"Weather for Enthusiasts, by Enthusiasts.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699228752343-weatherhawks_W_webbar.png?width=75&height=75&resize=contain,False,['science'],62,True,,False,154803782,False,,,,#a30000,en,1699228753,62,0,1699051755,True,ec686ad7-5c13-44b5-a8f9-24b379094ad9
Planenerd,https://planenerd.com/,"Learn about aviation, from the history of flight to the latest innovations, in commercial and military aviation.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700692880959-planenerd-favicon-01.png?width=75&height=75&resize=contain,False,['science'],57,True,,False,2568755,False,,,,#0033f8,en,1660167490,57,10,1706443772,False,84e1442a-4829-463a-915a-59dbac95ae4d
Front Matter Blog,https://blog.front-matter.io/,Blog about the intersection of science and technology.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660755168882-apple-touch-icon.png?width=75&height=75&resize=contain,False,['science'],46,True,,False,8375678,False,,,,#38a169,en,1660755171,46,1,1706534103,True,f5355670-67d6-42ea-8af7-5d8327a86c39
