title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Platformer,https://www.platformer.news/,"News at the intersection of Silicon Valley and democracy. On Monday, Tuesday, and Thursday at 5PM Pacific.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705603391884-logo-2.png?width=75&height=75&resize=contain,False,['technology'],0,False,,False,9926,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/platformer.jpeg,#000000,#FBD1B0,#6b0095,en,1705603394,0,0,1705457240,True,24fa21c4-7f9f-422a-a758-f9eece1afbb6
404 Media,https://www.404media.co/,"404 Media is a journalist-founded publication focused on investigative reports about hacking, cybersecurity, AI, consumer rights, surveillance, privacy, and the democratization of the internet.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692783663251-favicon-3.svg?width=75&height=75&resize=contain,False,['technology'],0,False,,False,249153,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/404-media-feature.png,#15171A,#ACF96A,#45B003,en,1692783663,0,0,1706804068,True,7dee18f0-5b2a-403f-aa17-1d6126af02a7
Maker Stations®,https://www.makerstations.io/,Desk tours every Sunday.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692982324361-Logo-min%20(1).png?width=75&height=75&resize=contain,False,['technology'],2199,True,,False,744500,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/makerstations_feature.jpeg?width=600&height=426&resize=cover,#15171A,#E0DCC7,#EF7155,en,1658238420,2199,19,1706467546,True,a09936ab-12d0-40e9-b653-6df0a7d1d122
Hngry,https://www.hngry.tv/,Examining a world where technology shapes the way we eat.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/hngry.png?t=2022-07-19T12%3A50%3A14.271Z?width=75&height=75&resize=contain,False,['technology'],0,False,,False,2039701,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/hngry_feature.png?width=600&height=426&resize=cover,#15171A,#FCEFD9,,en,1658238420,0,0,1656460800,True,6b2be9b2-f01e-43ba-bf39-fb55c60629f9
This Week in Fintech,https://www.thisweekinfintech.com/,"This Week in Fintech is a digest of all things financial technology, brought to your inbox every week.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673028127655-TWF_Logo_icon_1-2.png?width=75&height=75&resize=contain,False,['technology'],95964,True,,False,643975,False,,,,#24a4ff,en,1673028128,95964,1245,1706875011,True,3600721a-0385-4ea2-a9ca-e43ce0a193a1
GPTE,https://gpte.ai/,"Search 5,000+ AI tools. Discover the latest AI news, prompts, tools, and trends.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682187589696-GPTEROUNDLOGO-1.png?width=75&height=75&resize=contain,False,['technology'],51165,True,,False,14186209,False,,,,#000000,en,1680039322,51165,145,1701988574,False,8d959189-c700-4a51-8ebf-82d92c670e3e
Architecture Notes,https://architecturenotes.co/,Engineering architecture notes about system design and software architectures explained by engineers for engineers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660070438022-an-banner-logo-60x60-transparent-2.png?width=75&height=75&resize=contain,False,['technology'],16422,True,2K,True,574342,False,,,,#5e30eb,en,1660070439,35023.8,118,1705867975,True,1083c002-1787-48b5-9e62-9b2f368508e8
Soccersm Analytics AI,https://newsletter.soccersm.ai/,AI-Powered Soccer Predictions & Analytics.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702006871376-logomark.png?width=75&height=75&resize=contain,False,['technology'],27836,True,,False,10470772,False,,,,#2d947a,en,1702006868,27836,212,1706717398,False,6c1b83b2-e923-4adf-afa7-a59bd41b17d6
Citation Needed,https://citationneeded.news/,A critical look at the cryptocurrency industry and the broader technology world.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704176037192-illustration-trimmed.png?width=75&height=75&resize=contain,False,['technology'],21197,True,,False,10477743,False,,,,#0645AD,en,1704176038,21197,0,1703643642,False,d6930ce5-3b1d-476e-8dc2-6e1b6809fe64
Building the Open Home,https://building.open-home.io/,"Open Home is our vision for smart homes that offer privacy, choice and durability. Follow for updates from projects and communities making this a reality including Home Assistant, ESPHome, and more!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682214506122-balloob_a_friendly_blue_robot_running_finishing_a_marathon_chee_e0f7c125-4487-4d26-b570-be8c3690f172--1-.png?width=75&height=75&resize=contain,False,['technology'],17990,True,0,True,6105012,False,,,,#69ac9d,en,1660073539,17990,48,1706219612,True,328410ee-1e22-4ef8-a01c-a74852ab8b4c
Rethinking with Dror Poleg,https://www.drorpoleg.com/,"Rethinking work, cities, and buildings. Get weekly insights on emerging technologies and business models. Join 25,000+ investors, technologists, and curious generalists.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675790272171-Dror-Poleg-Newsletter.png?width=75&height=75&resize=contain,False,['technology'],14210,True,,False,675107,False,,,,#ff475a,en,1668798383,14210,5,1706115587,True,81b03986-8c5d-4e07-9c6d-cbc6b1c5ac77
NPrimeWeb,https://www.nprimeweb.com/,"The best way to stay informed about cloud news from AWS, Microsoft Azure and Google Cloud. Sign up for the weekly newsletters.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1672493513012-Ghost_Publication_Icon-1.png?width=75&height=75&resize=contain,False,['technology'],12465,True,,False,212252628,False,,,,#00A0F8,en,1660134239,12465,0,1706878994,True,fd80e8de-b969-4d46-8a05-59580bbce6ed
Weekly AI Newsletter - Verbatik,https://ai.verbatik.com/,"Weekly Newsletter about AI Tools, Trends and News",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1686308255164-verbatiklogo-4.webp?width=75&height=75&resize=contain,False,['technology'],296,True,1K,True,190118113,False,,,,#00c7fc,en,1676841749,11853.1,1236,1691063501,False,fe6c6c22-449e-47b4-91b7-9342c5b8853c
Product Oversee,https://productoversee.com/,"Escrevemos para colaborar, experimentar e provocar a busca por novos pontos de vista, impulsionando o pensamento crítico.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664755175122-apple-touch-icon.png?width=75&height=75&resize=contain,False,['technology'],11538,True,,False,1158899,False,,,,#fc0d1b,pt-br,1660137125,11538,7,1706720112,True,628b63cb-c523-43ca-bf35-6d21031cfa51
Kernal Blog,https://blog.kern.al/,"Turn your next startup idea into a unicorn with the support of world-class founders, advisors and investors.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673969432253-Frame-249.png?width=75&height=75&resize=contain,False,['technology'],11428,True,,False,4115162,False,,,,#508132,en,1673969433,11428,20,1695947421,True,e9b256fc-0537-4b61-a82e-f91192479c7d
Disconnect,https://disconnect.blog/,Tech critic Paris Marx provides the critical take on Silicon Valley you’ve been missing,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705686930399-disconnect_icon.png?width=75&height=75&resize=contain,False,['technology'],10010,True,,False,716336,False,,,,#F3C016,en,1705686931,10010,0,1705682194,True,6a747510-5676-4186-8cbb-3eb28c69d697
Data Phoenix,https://dataphoenix.info/,"Data Phoenix is your best friend in learning and growing in the data world! We publish digest, organize events and help expand the frontiers of your knowledge in ML, CV, NLP, and other aspects of AI.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661560769259-Data-Phoenix_Logo_icon.png?width=75&height=75&resize=contain,False,['technology'],8496,True,,False,3762416,False,,,,#FF1A75,en,1661560770,8496,6,1706752414,False,dea4056f-c748-4297-a2b4-f3a0918541aa
