title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Jetsetter Alerts ,https://www.jetsetteralerts.com/,Airline Mistake Fare Alerts - Cheap Flights! Travel the world for a fraction of the cost and turn your dream trips into memories instead of being just a dream.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703380815687-Jetsetter-Club-Logo-JS-Darkmode--4-.png?width=75&height=75&resize=contain,False,['travel'],1609,True,499,True,10497786,False,,,,#00BFFF,en,1690883593,6598.5,282,1706804412,True,f61b052d-3630-495f-b9d5-bc7ba1df96fa
Zugpost,https://zugpost.org/,Ein Newsletter über das Zugreisen.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684083277978-zugpost-logo-round-2.png?width=75&height=75&resize=contain,False,['travel'],5237,True,,False,19713137,False,,,,#d63447,de,1684083279,5237,26,1706647440,True,3e95f872-c3fd-4786-9495-ac9c0e34648e
Martin Reiche,https://martinreiche.de/,In the Mind of a World Bike Traveler. Armchair-psychological reflections of a world trip by bike. About independent bike travel and life. About mental health and the human experience.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681570627412-me_bw.jpeg?width=75&height=75&resize=contain,False,['travel'],154,True,119,True,374956318,False,,,,#000000,en,1674151208,1344.9,73,1699267916,False,464b7a47-03cf-4ab5-823a-1c656be1788c
AwesomeVisa Exodus,https://exodus.awesomevisa.com/,一站式润学 DIY 解决方案,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699608029183-DALL-E-2023-11-10-05.54.33---Create-a-vibrant-and-eye-catching-logo-for--AwesomeVisa-.-Incorporate-a-stylized-image-of-a-globe--emphasizing-international-connections--with-a-bold--1.png?width=75&height=75&resize=contain,False,['travel'],996,True,,False,10498954,False,,,,#ff301a,cn,1699607997,996,0,1706758189,True,6ef5fa68-0329-4cf6-8eca-0d9813665fa7
Freaking Nomads,https://freakingnomads.com/,Freaking Nomads: Guides and Resources for Digital Nomads and Remote Workers,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1688561343760-Ellipse-1-2.png?width=75&height=75&resize=contain,False,['travel'],977,True,,False,14977889,False,,,,#F73B96,en,1687841680,977,33,1706833609,False,3af0c7ec-859c-4929-a827-8ac1e12bf297
COTRI Intelligence,https://www.cotri-intelligence.com/,Navigating the Horizon: Your Weekly Insight into the Dynamic Chinese Outbound Tourism Realm,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693169195000-Add-a-heading--1-.png?width=75&height=75&resize=contain,False,['travel'],529,True,,False,10499444,False,,,,#000000,en,1693169196,529,1,1706711968,True,1c38ca63-3a60-4b40-a02a-4dbd97c943d0
The Daily Grog,https://thedailygrog.com/,Your internet watering hole.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687902426380-noun---drinks-logo-small.png?width=75&height=75&resize=contain,False,['travel'],117,True,27,True,2558034,False,,,,#01516b,en,1671100951,383.6,1,1699422430,True,7e7c0f4c-9992-48dd-a1fe-d124678328f2
Here To Travel Plus,https://plus.heretotravel.com/,"Subscribe for exclusive travel updates, site news and eco-travel discoveries.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690308112533-htt-plus-avatar-2.png?width=75&height=75&resize=contain,False,['travel'],247,True,0,True,66496995,False,,,,#CB6CE6,en,1690308113,247,0,1706691002,True,298827a6-f1b8-4734-9cfc-2691604f6f9f
How2Canada,https://www.how2canada.com/,How2Canada | Your Ultimate Guide to Canada!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663638639020-logo-h2c-trans.png?width=75&height=75&resize=contain,False,['travel'],188,True,,False,55590126,False,,,,#de0202,en,1663638640,188,13,1698054615,True,81ad0649-8c6e-40a4-8361-de115455c908
Apollo Van,https://apollo-van.fr/,Blog Van Mercedes Marco Polo & Vanlife ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701725039689-icon-black.png?width=75&height=75&resize=contain,False,['travel'],130,True,,False,45096197,False,,,,#ff3c2e,fr,1672778230,130,6,1706132022,False,3ccb83c6-57b5-4ca7-88a6-272a238f6d9c
Tiny Travel Tips,https://www.tinytraveltips.com/,"We want to help people travel smarter and have more fun while they're doing it! Whether you're a first-time traveler or an experienced globetrotter, we've got something for everyone.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666928810896-E0D1E627-89AD-48CE-9C95-749FBE594CF5.jpeg?width=75&height=75&resize=contain,False,['travel'],110,True,,False,9999890,False,,,,#3d1cb5,en,1666928812,110,0,1672279462,True,d7273015-220e-41a5-8bfc-d1709d644aac
Bald Man Japan,https://baldmanjapan.com/,Creative nonfiction essays on life in contemporary Japanese society.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699612533950-bmj_hero_square.png?width=75&height=75&resize=contain,False,['travel'],99,True,0,True,10499896,False,,,,#6200EE,en,1668661246,99,2,1705809144,True,69ee7af4-9990-46b7-9b60-e2bcee2b78f9
Travel Content Creators,https://www.travelcontentcreators.com/,Wisdom from cultures around the world about how to live a good life,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684247475405-travel-content-creators-logo.png?width=75&height=75&resize=contain,False,['travel'],90,True,0,True,1379790,False,,,,#c2ab92,en,1684247476,90,2,1704614439,True,4d0c491f-3b89-4d2e-b194-2fb510657fd4
The Oasis Times,https://www.travellete.com/,"Our thoughts, stories, & ideas. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692846441512-The%20Oasis%20Times%202.png?width=75&height=75&resize=contain,False,['travel'],58,True,2,True,10499937,False,,,,#5db3ff,en,1692227245,77.9,1,1706790049,True,9720440d-bc08-4dff-a200-3ff18aa62b30
Travel Fodder,https://www.travelfodder.com/,"A travel newsletter exploring travel itself. The history, philosophy, poetry, and art of travel.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669068534537-Small-Logo-Blue-JPEG.jpg?width=75&height=75&resize=contain,False,['travel'],25,True,3,True,373731698,False,,,,#00a3d7,en,1669068538,58.3,2,1671998160,True,4fc5a554-b48f-42b8-9547-d4f44a32421e
