title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Nous Network,https://www.thenousnetwork.com/,"We are a Think Tank-Media that aims to reconstruct the discourse around human rights, development, culture, politics and religion.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700316848940-Nous_SiteLogo_1.png?width=75&height=75&resize=contain,False,['youtubers'],2407,True,,False,9997593,False,,,,#232323,en,1700316850,2407,0,1702647132,True,c9ec2cb5-d4cf-4a32-8c35-f591c52b4196
Benjamin Keep,https://www.benjaminkeep.com/,Better learning and reasoning through science (hopefully). I'm a cognitive scientist who studies learning and scientific problem solving.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682920295838-Benjamin_Keep_Headshot_BW_lower_res.jpg?width=75&height=75&resize=contain,False,['youtubers'],1375,True,0,True,806365,False,,,,#0096ff,en,1682920297,1375,13,1706821201,True,1ad44acf-8c25-442d-aa3a-e8eeeaed0f66
bearryver.com,https://www.bearryver.com/,Weekly Skyvibe Serial astrology forecasts. Betterthans & B-Sides gives you the best times to act. And Myxticism: Musings on Magic and Mysticism from the Margins.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674152231933-Universal%20Bear%20(1).png?width=75&height=75&resize=contain,False,['youtubers'],503,True,67,True,18799807,False,,,,#498ddd,en,1674152233,1174.4,5,1704067654,True,959ace34-7834-41f5-9037-0fab02be0e78
Pete Matheson,https://www.petematheson.com/,"I'm a content creator with 40k+ Subscribers on YouTube. I love Tech, Music and Chocolate.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660115403820-PM_BRANDMARK_WEB_ORANGE_RGB.png?width=75&height=75&resize=contain,False,"['technology', 'youtubers']",681,True,0,True,5067014,False,,,,#CB6042,en,1660115406,681,2,1705590247,True,b8e5eb35-c2f8-47cf-b98a-339d32635e7d
Pashtech,https://www.pashtech.co.uk/,As well as offering freelance web services we also aim to help gamers and marketers with tech issues and reviews!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667374324469-PashTech%20Logo.png?width=75&height=75&resize=contain,False,['youtubers'],423,True,5,True,120393117,False,,,,#507ABb,en,1667374328,473,0,1706711573,True,b1497d78-c95c-4cdb-be19-93207808f8d1
Jonah Aragon,https://www.jonaharagon.com/,"I'm the founder of Privacy Guides, and I write about data privacy, digital rights, and cybersecurity. I also make videos on YouTube.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705195532125-Jonah%20Aragon.jpeg?width=75&height=75&resize=contain,False,['youtubers'],141,True,0,True,595782,False,,,,#0000ff,en,1705195533,141,17,1706732612,True,f20bec5f-ef80-4303-bb21-a1a19346f64f
PolyInnovator LLC | Official Website for Dustin Miller,https://polyinnovator.space/,"I'm a PolyInContent Creator, which means Blogger, YouTuber, Podcaster, and more. Check out my 3 polymathic newsletters about swimming, content repurposing, and living multidisciplinary!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670578145190-New-PolyInnovator-Logo-all-brands.png?width=75&height=75&resize=contain,False,['youtubers'],91,True,,False,1490918,False,,,,#c72534,en,1663866603,91,2,1706544684,True,01f9cc23-27ae-4f68-b634-dd1d9feff819
amonle,https://www.amonle.com/,"A deeper, behind-the-scenes look into the opportunities that are created when architecture meets the world of storytelling.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687435665562-amonle-A-digot-blk-sq-120-1.png?width=75&height=75&resize=contain,False,['youtubers'],28,True,,False,813164,False,,,,#b14c4b,en,1687435666,28,0,1701978586,True,7926821a-ca75-4d98-9935-f4e8b328a602
Indie Creator Hub,https://newsletter.thisindiecreator.com/,"As an independent publication, our focus is on showcasing the alternative platforms and services that can be of interest to other independent creators.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692304788953-ICH-Social-Icon-Light-Mode-Outline-60x60.png?width=75&height=75&resize=contain,False,['youtubers'],5,True,0,True,10499994,False,,,,#538cc6,en,1692304789,5,1,1704816411,True,428663f1-b903-4002-a901-0eda0b712d50
Brett Abraham,https://www.brettabraham.com/," I'm Brett Abraham, UX Engineer. I turn 'lost in translation' into collaboration, marrying design empathy with engineering logic to deliver standout UX your users will love. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705694293800-rounded-logo.png?width=75&height=75&resize=contain,False,['youtubers'],3,True,,False,10499996,False,,,,#003c58,en,1705694294,3,0,1705619528,True,8d2b972d-adb3-4c95-b0d3-1ea6d6d5b2e4
Izak Jackson,https://izakjackson.com/,I'm an adventure filmmaker and photographer sharing the behind the scenes of my adventures.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677518116904-favicon.png?width=75&height=75&resize=contain,False,['youtubers'],2,True,0,True,90245938,False,,,,#838C4A,en,1677518117,2,0,1702641024,False,b77dad84-4f30-42fc-bc71-0af6586af23c
Ali Abdaal,https://aliabdaal.com/,"Doctor, YouTuber and podcaster, exploring the strategies and tools that help us live happier, healthier, more productive lives.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/aliabdaal.png?t=2022-07-19T12%3A40%3A17.357Z?width=75&height=75&resize=contain,False,"['productivity', 'youtubers']",0,False,,False,1283771,False,,,,,en,1658238420,0,0,1656547200,True,e05e8650-603f-4a39-aabe-ddc5bd8315eb
Creator Currency,https://www.createdaily.club/,Breaking down the business of building communities🖤🎥 Join 400+ creators who read Creator Currency each week,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1686203252511-Creator%20Currency.png?width=75&height=75&resize=contain,False,['youtubers'],0,False,,False,11000000,False,,,,#ffb1bb,en,1672865336,0,0,1686108309,True,045f0158-3020-45b1-94c9-5a166b708fe5
jemellee's journal,https://www.jemellee.com/,starting life over in my 30s and documenting every step of the way,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701465215358-jemellee---site-icon-2023--1000---1000-px---2-.png?width=75&height=75&resize=contain,False,['youtubers'],0,False,,False,27746258,False,,,,#ff93b7,en,1677252495,0,0,1705674649,True,caa97df9-6fa7-41a2-9e12-99d686535c0d
See The Little Things,https://www.seethelittlethings.com/,"Join YouTubers Alex & Mandy, as they travel around the world on a 36ft sailing vessel, documenting their journey every step of the way.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/stlt.png?width=75&height=75&resize=contain,False,['youtubers'],0,False,,False,62125040,False,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/stlt-sm.jpg?width=600&height=426&resize=cover,#15171A,#DDB492,#303030,en,1671100020,0,0,1671100020,True,8cf9b7ba-685d-4972-9337-f2dbb254c293
